id,aplicacion,sistema_operativo,es_gratuita,anio_lanzamiento,descargas,puntuacion_tienda
1,Trippledex,Windows Phone,TRUE,2009,3360878,9
2,Span,iOS,TRUE,2020,18384530,8.6
3,Tampflex,Windows Phone,TRUE,2006,2359494,5
4,Home Ing,Todos,FALSE,2007,25927566,4.6
5,Job,iOS,TRUE,20018,18374353,8.1
6,Keylex,Todos,FALSE,2013,5825831,9.6
7,Stim,Android,TRUE,2015,24407272,7.6
8,Voltsillam,Windows Phone,TRUE,2006,23485438,7.4
9,Span,Android,FALSE,2020,5011043,1.7
10,Tres-Zap,Windows Phone,TRUE,2005,4834475,5
11,Transcof,iOS,FALSE,2016,9949462,4.1
12,Tampflex,Todos,FALSE,2016,18868097,4.8
13,Vagram,Todos,FALSE,2011,3576894,6.8
14,Fix San,iOS,TRUE,20100,28301307,1.1
15,Bitwolf,Todos,TRUE,2010,23700,7.1
16,Subin,Android,TRUE,2016,23422999,3.5
17,Aerified,iOS,TRUE,2011,13158460,3.5
18,Wrapsafe,iOS,TRUE,2008,28296758,7.5
19,Namfix,Android,TRUE,2011,1419751,2.4
20,Voltsillam,Todos,FALSE,2013,25963292,10
21,Tresom,Todos,TRUE,2018,1337046,3.9
22,Voltsillam,Todos,FALSE,2009,2432996,7.4
23,Asoka,Windows Phone,TRUE,2009,5342896,7.6
24,,Android,FALSE,2013,4394137,2.4
25,Zontrax,iOS,TRUE,2012,8356598,9
26,Fintone,Windows Phone,FALSE,2005,7663754,2
27,Flexidy,Android,TRUE,2009,17715328,8.9
28,,Windows Phone,TRUE,2013,,1.1
29,Tampflex,Todos,TRUE,2009,5869878,8.5
30,Y-find,Windows Phone,TRUE,2008,14254613,5
31,Andalax,Todos,FALSE,2009,16821100,6.9
32,Pannier,Todos,FALSE,2018,14997312,3.2
33,Pannier,Todos,FALSE,2013,15626305,7.3
34,Bamity,Todos,TRUE,2019,8990450,6.9
35,Voltsillam,Android,FALSE,2007,2176648,7.7
36,Biodex,Windows Phone,FALSE,2019,1359992,6.8
37,Fintone,Todos,FALSE,2010,12248129,8.5
38,Latlux,iOS,TRUE,2013,2495705,7.6
39,Bitchip,Windows Phone,TRUE,2018,2437415,4.9
40,Bitwolf,Android,TRUE,2009,850110,5.2
41,Lotlux,Android,FALSE,2018,6206936,5.9
42,Bitwolf,Windows Phone,FALSE,2015,902565,2.9
43,Zamit,iOS,FALSE,2013,28950436,5.8
44,It,Android,FALSE,2018,7875556,9.8
45,Bigtax,Android,TRUE,2017,19086617,7.2
46,Konklux,iOS,FALSE,2014,3577507,7.5
47,Keylex,Windows Phone,FALSE,2010,11238059,5.4
48,,Windows Phone,FALSE,2016,5926991,8.5
49,Stim,Todos,FALSE,2011,5655906,1.3
50,Asoka,Todos,TRUE,2016,17040119,2.7
51,Sonsing,Android,TRUE,2011,28791466,7.9
52,Quo Lux,iOS,FALSE,2005,13701231,6.7
53,Zoolab,iOS,TRUE,2009,17170117,5.6
54,Home Ing,Android,FALSE,2014,14346851,5.5
55,Greenlam,Windows Phone,TRUE,2014,14945654,2.9
56,Voltsillam,Android,TRUE,2017,6565833,9.8
57,Duobam,iOS,FALSE,2016,28332250,3.9
58,Alpha,,TRUE,2015,10746661,
59,Zamit,,TRUE,2009,12887365,
60,Temp,Todos,TRUE,2018,7064986,6.6
61,Lotlux,Todos,FALSE,2010,3569913,4.8
62,Zamit,Windows Phone,FALSE,2009,,4.7
63,Daltfresh,Windows Phone,FALSE,2006,29027941,3.3
64,Tampflex,Android,TRUE,2016,,9.8
65,Zamit,iOS,TRUE,2006,3665282,3.6
66,Transcof,iOS,FALSE,2008,3190379,3.2
67,Tampflex,iOS,TRUE,2016,19895816,6.3
68,Bytecard,Android,TRUE,2008,9733176,6.5
69,Bytecard,Todos,FALSE,2007,19911660,5.3
70,Wrapsafe,,TRUE,2007,25300877,
71,Regrant,Windows Phone,FALSE,2005,15524217,5.8
72,Y-Solowarm,Android,TRUE,2011,14042611,8.3
73,Stringtough,Android,FALSE,2017,6889834,7.8
74,Transcof,Android,TRUE,2012,14991285,6.3
75,Treeflex,,FALSE,2007,4830833,
76,Sonair,Android,TRUE,2020,24028014,7.7
77,Konklux,Android,TRUE,2005,1470121,8.1
78,Tres-Zap,,TRUE,2007,25472164,
79,Hatity,Todos,FALSE,2011,27774107,8.3
80,Toughjoyfax,Android,FALSE,2010,4350348,1.5
81,Tresom,Todos,TRUE,2014,24565050,2.7
82,Flowdesk,iOS,TRUE,2007,12044251,6.2
83,Zaam-Dox,Todos,TRUE,2017,11500635,6
84,Greenlam,Todos,TRUE,2014,24314942,1.1
85,Y-Solowarm,Android,FALSE,2015,9393848,3.3
86,Zoolab,iOS,TRUE,2015,20778586,7.1
87,Bitwolf,iOS,FALSE,2007,19538632,2.5
88,Flexidy,iOS,TRUE,2009,9026814,9.7
89,Tampflex,iOS,TRUE,2018,26384183,7
90,Holdlamis,iOS,FALSE,2012,2887207,9.7
91,Duobam,Todos,FALSE,2017,,5.7
92,Zamit,,FALSE,2007,,
93,Fixflex,Android,TRUE,2005,19480002,5.6
94,Cookley,Todos,FALSE,2011,15267292,7.6
95,Flexidy,Todos,FALSE,2006,5453030,9.6
96,Fixflex,Android,TRUE,2005,19070847,4.4
97,Quo Lux,Windows Phone,TRUE,2007,9244518,9.1
98,Holdlamis,Android,FALSE,2008,10777582,1.3
99,Overhold,Windows Phone,TRUE,2017,22164110,8.7
100,Lotlux,Todos,TRUE,2013,7544479,5
101,Fixflex,Windows Phone,FALSE,2007,20393339,3
102,Transcof,iOS,FALSE,2018,14097226,2.2
103,Sonsing,Todos,TRUE,2020,10130333,9.5
104,Trippledex,Todos,TRUE,2010,9502845,2.5
105,Flowdesk,iOS,TRUE,2020,1246450,8.9
106,Tres-Zap,Windows Phone,TRUE,2020,26798604,4.7
107,Temp,Todos,FALSE,2009,4316256,7.7
108,Stim,Todos,TRUE,2015,16431479,2.3
109,Stim,iOS,FALSE,2009,20410865,1.9
110,Bigtax,iOS,TRUE,2017,22202854,9.3
111,Hatity,Todos,TRUE,2014,6508427,4.1
112,Duobam,Windows Phone,TRUE,2015,16917323,9.6
113,Ronstring,Windows Phone,FALSE,2007,805506,8.2
114,Sonair,,TRUE,2018,8255230,
115,Sub-Ex,Todos,FALSE,2010,1560121,2.6
116,Biodex,iOS,TRUE,2013,4567804,1.9
117,Zathin,iOS,FALSE,2009,28007092,1.2
118,Y-find,Todos,TRUE,2005,20059810,7.1
119,Ventosanzap,iOS,FALSE,2007,4440006,1.5
120,Pannier,Todos,FALSE,2006,15558309,7
121,Opela,iOS,TRUE,2005,18515816,2
122,Lotstring,iOS,TRUE,2020,25226186,4.5
123,Stronghold,Windows Phone,FALSE,2011,12744813,1.4
124,Toughjoyfax,Windows Phone,FALSE,2005,18878448,1.1
125,Fix San,iOS,FALSE,2015,24182109,9.3
126,Cardguard,Windows Phone,FALSE,2006,575456,6.4
127,Bitchip,Android,FALSE,2014,5265013,4.1
128,Tempsoft,,TRUE,2016,19273513,
129,Voltsillam,iOS,TRUE,2012,22915599,5.2
130,Voltsillam,Android,FALSE,2017,14530016,7.5
131,Subin,Todos,TRUE,2020,9236057,9.1
132,Subin,,TRUE,2009,17684710,
133,Voltsillam,Todos,TRUE,2016,7526239,6.9
134,Konklab,Windows Phone,TRUE,2011,17926988,8.9
135,Veribet,Windows Phone,TRUE,2011,10586153,6.6
136,Tempsoft,Windows Phone,TRUE,2006,23828852,6.3
137,Zontrax,Android,TRUE,2020,29680118,9.9
138,Ronstring,Windows Phone,FALSE,2016,20086480,6.9
139,Tin,Windows Phone,FALSE,2009,9020986,3.7
140,Stronghold,Android,FALSE,2018,,9.6
141,Holdlamis,Todos,FALSE,2014,6648322,2.7
142,Matsoft,Android,FALSE,2006,1128147,3.6
143,Y-Solowarm,iOS,FALSE,2014,20089572,5.4
144,Zathin,Android,TRUE,2010,18532480,7.4
145,Cardify,Windows Phone,FALSE,2018,19146362,8.7
146,Tin,Windows Phone,TRUE,2012,13162471,9.4
147,Ronstring,Android,FALSE,2015,17219443,8.4
148,Temp,Windows Phone,FALSE,2006,,6.1
149,Asoka,Android,FALSE,2020,25543829,3.5
150,Zaam-Dox,Todos,FALSE,2011,10789425,9.3
151,Span,Todos,FALSE,2013,12482962,6.7
152,Temp,Windows Phone,FALSE,2020,,1.1
153,Y-Solowarm,Windows Phone,TRUE,2018,2663871,9.9
154,It,Windows Phone,TRUE,2014,1262038,3
155,Zathin,Android,FALSE,2017,13665422,5.6
156,Overhold,Android,FALSE,2013,13127210,3.8
157,Bamity,iOS,TRUE,2019,803631,6
158,Prodder,Todos,TRUE,2014,23943036,2.7
159,Stronghold,Windows Phone,FALSE,2015,24280553,8.2
160,Gembucket,Android,TRUE,2006,27472451,3.8
161,Hatity,,FALSE,2020,3230475,
162,Zathin,Todos,FALSE,2012,13659419,8.1
163,Solarbreeze,Windows Phone,TRUE,2016,28694867,3.5
164,Stim,Windows Phone,FALSE,2020,3855190,4
165,Sonair,Windows Phone,TRUE,2014,2883380,6.4
166,Tampflex,Android,TRUE,2008,2635298,7.2
167,Konklux,Android,TRUE,2012,1585142,7.6
168,Aerified,Android,TRUE,2005,5945514,8.2
169,Aerified,Todos,FALSE,2012,28846253,5.1
170,Overhold,Android,TRUE,2013,17210538,7.2
171,Pannier,Todos,FALSE,2007,8954135,6.8
172,Lotstring,Android,FALSE,2013,21960129,2.3
173,Latlux,Todos,FALSE,2005,26342948,2.2
174,Veribet,Android,TRUE,2014,14066203,5.1
175,Cardify,Todos,TRUE,2005,27872265,7.9
176,Zaam-Dox,iOS,FALSE,2020,4082760,8.1
177,Sonsing,Android,FALSE,2018,11862986,9.4
178,Pannier,Android,FALSE,2013,1254976,1.3
179,Zamit,iOS,TRUE,2016,18718485,3.3
180,Zamit,Android,FALSE,2016,25539407,8.3
181,Tresom,Todos,TRUE,2005,26332129,2.8
182,Temp,Windows Phone,FALSE,2019,22145685,7.7
183,Voyatouch,iOS,FALSE,2014,10663856,8.7
184,Andalax,iOS,FALSE,2020,6464851,6
185,Fintone,Android,TRUE,2019,25651309,3
186,Kanlam,iOS,FALSE,2011,17850388,9.7
187,Konklux,Android,TRUE,2016,12678633,7.6
188,Andalax,Todos,TRUE,2019,28268466,7.6
189,Holdlamis,Windows Phone,FALSE,2015,,4.5
190,Namfix,Windows Phone,TRUE,2005,24880095,5.9
191,Bitchip,iOS,FALSE,2006,22274605,8
192,,Android,FALSE,2016,15065898,8.4
193,Otcom,Android,TRUE,2016,11535320,9.9
194,Regrant,Android,FALSE,2013,20507604,4.8
195,Veribet,Android,TRUE,2013,29747806,8.9
196,Tempsoft,iOS,FALSE,2018,15075386,7.6
197,Pannier,Android,TRUE,2015,23725549,1.6
198,Andalax,Android,TRUE,2008,1338652,9.1
199,Fixflex,iOS,TRUE,2011,13186170,3.4
200,Home Ing,iOS,FALSE,2008,16337509,9.3
201,Transcof,iOS,TRUE,2011,17392276,4.2
202,Wrapsafe,Android,TRUE,2011,23560447,8.5
203,Quo Lux,iOS,TRUE,2012,13312515,2.9
204,Alphazap,iOS,TRUE,2019,11591645,1
205,Fix San,Windows Phone,FALSE,2017,27576493,7
206,Daltfresh,,TRUE,2012,26403706,
207,Kanlam,iOS,FALSE,2016,22141324,6.1
208,Pannier,Android,TRUE,2014,14898832,2.2
209,Cookley,iOS,TRUE,2017,6912548,5
210,Y-Solowarm,Android,TRUE,2018,19008983,7.7
211,Lotlux,iOS,TRUE,2014,14643225,5.2
212,Greenlam,Todos,FALSE,2020,9909192,6
213,Overhold,Windows Phone,TRUE,2009,5632066,1.4
214,Voltsillam,Android,TRUE,2012,8877369,8.9
215,Rank,Android,FALSE,2017,23153337,4.6
216,Sonsing,Todos,FALSE,2018,13663377,3.8
217,Flowdesk,iOS,TRUE,2009,14257036,3.8
218,Treeflex,Todos,FALSE,2008,3748594,3.5
219,Span,iOS,TRUE,2006,12031596,5.9
220,Cardguard,,TRUE,2016,24108149,
221,Sub-Ex,Windows Phone,FALSE,2018,13763154,1.9
222,Sonair,iOS,FALSE,2009,12626844,6.3
223,Fix San,iOS,TRUE,2016,13111004,4.5
224,Veribet,Android,FALSE,2005,27487595,3.3
225,Fix San,iOS,TRUE,2017,13347686,6.5
226,Opela,Todos,TRUE,2009,17057768,4
227,It,Todos,TRUE,2018,3315609,3.4
228,Bamity,Todos,TRUE,2017,9398400,6.6
229,Tempsoft,Android,FALSE,2014,15427310,3.1
230,Y-find,Todos,TRUE,2016,24965954,8.5
231,Flowdesk,Android,TRUE,2007,21025587,8.5
232,Namfix,,TRUE,2010,17811964,
233,Kanlam,Todos,FALSE,2020,59421,2.9
234,Cardify,Todos,TRUE,2014,23746460,8.7
235,Flexidy,Windows Phone,FALSE,2011,27583296,6.7
236,Fix San,Android,TRUE,2009,7134877,6.9
237,Tampflex,Android,FALSE,2011,20554211,5.7
238,Holdlamis,Android,FALSE,2009,27816331,1.4
239,Mat Lam Tam,Todos,FALSE,2018,2241262,7.7
240,Flowdesk,Windows Phone,FALSE,2011,6918187,5.9
241,Biodex,iOS,FALSE,2007,19566300,4.9
242,Aerified,Todos,FALSE,2006,24109604,4.1
243,Wrapsafe,Todos,TRUE,2007,26212643,4.4
244,Tresom,iOS,TRUE,2006,7608638,6.1
245,Hatity,Todos,TRUE,2015,15924355,2.4
246,Stronghold,Android,TRUE,2019,4547740,1
247,Biodex,Android,FALSE,2015,15430352,3.3
248,Bitchip,Android,TRUE,2006,29863287,6.5
249,Span,Windows Phone,TRUE,2016,,8.1
250,Bitchip,Android,TRUE,2013,19553043,6.4
251,Rank,Android,TRUE,2014,10403675,4.7
252,Gembucket,Android,TRUE,2016,15060704,7.9
253,,iOS,TRUE,2018,20027452,2.4
254,Toughjoyfax,Android,TRUE,2008,19047786,6.8
255,Zaam-Dox,Android,FALSE,2012,22494296,5.7
256,Namfix,Windows Phone,FALSE,2010,16244428,2.2
257,Domainer,Windows Phone,TRUE,2011,7625725,2.6
258,Konklab,Todos,FALSE,2009,8601740,1.3
259,Tres-Zap,Android,FALSE,2017,,6.1
260,Job,Todos,TRUE,2006,26338866,2.6
261,Span,Android,FALSE,2015,6068348,6.7
262,Tin,Windows Phone,TRUE,2016,18855200,1.1
263,Bitchip,Todos,FALSE,2018,22511552,4.1
264,Regrant,Windows Phone,FALSE,2010,11945227,6.4
265,Alpha,Windows Phone,TRUE,2007,23527532,1.9
266,Cookley,Windows Phone,TRUE,2014,19256652,1.8
267,Stronghold,Windows Phone,TRUE,2020,18535282,6.8
268,Span,iOS,TRUE,2006,21375950,9.2
269,Ventosanzap,Android,FALSE,2018,5196655,3.6
270,Job,Todos,FALSE,2008,22321159,9.6
271,Tres-Zap,Android,TRUE,2005,14244447,5.5
272,Sonair,Android,TRUE,2006,25176395,9.2
273,Cardguard,Android,TRUE,2006,4613527,5.4
274,Konklab,Windows Phone,TRUE,2012,19477019,7
275,Duobam,Android,FALSE,2011,4397592,7
276,Andalax,iOS,FALSE,2010,27980776,3.1
277,Sonsing,Android,TRUE,2008,5278809,3.4
278,Otcom,Android,TRUE,2010,22173042,6.3
279,Zathin,Todos,FALSE,2011,11238550,5.2
280,Bigtax,Android,TRUE,2014,3042495,6.4
281,Holdlamis,iOS,TRUE,2013,13761865,5.4
282,Duobam,Android,FALSE,2006,15810887,2.1
283,Temp,,FALSE,2018,7146229,
284,Konklab,Android,FALSE,2009,1016850,9.1
285,Matsoft,iOS,TRUE,2017,1380398,8.9
286,Greenlam,Todos,FALSE,2005,13942265,1.7
287,Subin,iOS,FALSE,2006,3616120,3.4
288,Flowdesk,Windows Phone,TRUE,2019,2211140,8.1
289,Flowdesk,iOS,FALSE,2011,11205646,4.5
290,Y-Solowarm,Todos,TRUE,2013,23996183,3.6
291,Overhold,iOS,TRUE,2018,,9.7
292,Bytecard,iOS,FALSE,2009,9452035,4.8
293,Domainer,Windows Phone,FALSE,2013,27319816,8.8
294,Asoka,Todos,FALSE,2008,9031762,5.1
295,Duobam,iOS,FALSE,2016,16284823,5.3
296,Ronstring,,TRUE,2013,9230320,
297,Holdlamis,iOS,FALSE,2017,6465741,1
298,Opela,Windows Phone,TRUE,2014,29996403,7
299,Tampflex,iOS,TRUE,2008,26390019,7.5
300,Keylex,Windows Phone,TRUE,2020,4464183,7.4
301,Asoka,iOS,FALSE,2019,11912434,4
302,Lotstring,Android,TRUE,2008,14739281,4.1
303,Fintone,Windows Phone,TRUE,2011,24893290,2.3
304,Ronstring,Todos,TRUE,2019,24211358,3.8
305,Tin,Android,FALSE,2006,81739,2.7
306,Alpha,iOS,FALSE,2014,27338295,9.6
307,Regrant,Todos,FALSE,2010,13218572,8.9
308,Y-Solowarm,Windows Phone,TRUE,2017,6930085,4.4
309,Duobam,Windows Phone,TRUE,2007,15855390,4.7
310,Regrant,iOS,TRUE,2018,17327181,8.5
311,Y-find,Windows Phone,TRUE,2005,,3.5
312,Subin,Android,FALSE,2006,12195860,9.2
313,Fix San,Windows Phone,FALSE,2008,5750513,1.6
314,Overhold,Todos,TRUE,2013,12340413,5.5
315,Y-Solowarm,iOS,TRUE,2016,4598634,7.7
316,Flexidy,Todos,TRUE,2020,16005459,5.7
317,Konklux,Todos,FALSE,2008,26456859,6.1
318,Daltfresh,iOS,TRUE,2016,3535668,5.1
319,Tampflex,Todos,FALSE,2009,13095116,6.9
320,Domainer,Android,FALSE,2006,3533189,1.6
321,Opela,Android,FALSE,2017,22417399,4.5
322,Rank,Windows Phone,TRUE,2005,1455902,6.6
323,Opela,Windows Phone,FALSE,2009,16953529,2.6
324,Otcom,iOS,FALSE,2006,146949,8.1
325,Duobam,Todos,FALSE,2008,2239036,2
326,Viva,Windows Phone,TRUE,2009,16054834,6.7
327,Redhold,Windows Phone,TRUE,2010,6332938,7.1
328,Viva,Android,TRUE,2018,15033840,4.3
329,Keylex,Android,FALSE,2018,17679296,9
330,Stim,iOS,FALSE,2014,17667055,5.6
331,Subin,iOS,FALSE,2019,911063,5
332,Pannier,iOS,FALSE,2010,22147343,3.5
