id,aplicacion,sistema_operativo,es_gratuita,anio_lanzamiento,descargas,puntuacion_tienda
665,Bigtax,Todos,TRUE,2013,23486081,8.5
666,Voyatouch,Windows Phone,FALSE,2020,7146282,2.3
667,Stronghold,Android,TRUE,2005,4710219,2.8
668,Vagram,Windows Phone,FALSE,2009,16655554,4
669,Sub-Ex,Todos,TRUE,2020,27085487,3.4
670,Rank,iOS,FALSE,2017,27925432,4.6
671,Zontrax,Todos,TRUE,2005,6546967,3.1
672,Latlux,Android,TRUE,2018,14742236,7.6
673,Redhold,Android,TRUE,2008,22331007,9.3
674,Treeflex,Todos,FALSE,2016,21898331,9.4
675,Otcom,Todos,TRUE,2008,13859284,3.9
676,Andalax,Android,TRUE,2008,1849765,6.7
677,Voltsillam,Windows Phone,TRUE,2013,28264471,4
678,,iOS,FALSE,2008,13766500,7.4
679,Job,Windows Phone,FALSE,2017,2392196,1.1
680,Sonair,Android,TRUE,2008,7232671,8.1
681,Sonair,iOS,TRUE,2013,10957285,3.2
682,Bigtax,Todos,TRUE,2017,18703454,2.2
683,Greenlam,Todos,TRUE,2006,2438752,7.5
684,Zaam-Dox,,FALSE,2005,23327132,
685,Zaam-Dox,Todos,TRUE,2006,25280250,4.6
686,Voltsillam,Todos,FALSE,2018,15660169,2.2
687,Sonair,iOS,FALSE,2012,27257556,7.2
688,Hatity,Windows Phone,TRUE,2018,1501906,2.9
689,Daltfresh,iOS,FALSE,2019,29724546,7.4
690,Lotlux,iOS,FALSE,2009,18739360,6.9
691,,Windows Phone,TRUE,2008,,2.8
692,Bigtax,Android,FALSE,2015,21156421,6.5
693,Fintone,iOS,FALSE,2016,17291218,3
694,Zoolab,iOS,TRUE,2006,14196662,3.3
695,Bigtax,Android,TRUE,2011,26048385,6.6
696,Otcom,iOS,FALSE,2018,28440592,7.3
697,Cardguard,iOS,TRUE,2012,3702836,9.4
698,Zoolab,iOS,TRUE,2006,8482657,8.1
699,Alpha,iOS,FALSE,2019,19946253,9.4
700,Pannier,iOS,TRUE,2010,8970707,2.7
701,Lotstring,Todos,TRUE,2009,25032365,4
702,Stim,iOS,TRUE,2009,15898393,1.4
703,Fixflex,Android,FALSE,2010,22648713,9.5
704,Bitwolf,Todos,FALSE,2015,13093957,1.2
705,Bigtax,Windows Phone,TRUE,2019,10023253,8.1
706,Namfix,Todos,TRUE,2017,,9.7
707,Stronghold,Windows Phone,TRUE,2019,7147976,8.7
708,Rank,,FALSE,2013,29922809,
709,Otcom,Android,TRUE,2017,24246813,8.7
710,It,iOS,FALSE,2007,20363477,6.7
711,Matsoft,Android,FALSE,2007,21719877,7
712,Biodex,Windows Phone,TRUE,2018,19818920,8
713,Lotlux,Todos,FALSE,2009,10497178,2.2
714,,iOS,FALSE,2006,27052220,5.4
715,Bitwolf,iOS,TRUE,2018,27302614,2.7
716,Tin,Todos,FALSE,2017,1039320,2.5
717,Alphazap,iOS,TRUE,2020,12953690,3.3
718,Duobam,Android,FALSE,2017,2977652,2.9
719,Home Ing,iOS,TRUE,2017,9251217,1
720,Holdlamis,iOS,FALSE,2015,12777970,9.3
721,Tempsoft,Todos,FALSE,2019,19826948,8.7
722,Pannier,Windows Phone,TRUE,2005,26960793,3.1
723,Quo Lux,,FALSE,2013,24723360,
724,Tampflex,Android,TRUE,2008,71781,7.7
725,Tempsoft,Windows Phone,FALSE,2018,12010374,5.7
726,Domainer,Windows Phone,FALSE,2015,14850258,4.4
727,Konklab,,FALSE,2018,17128407,
728,Transcof,Windows Phone,TRUE,2011,5238004,7.6
729,Keylex,Windows Phone,FALSE,2017,16236357,3.3
730,Tempsoft,Todos,TRUE,2007,21682990,7
731,Fix San,,FALSE,2009,17630069,
732,,Windows Phone,FALSE,2013,13658697,2.7
733,Alphazap,Android,TRUE,2008,6116117,8.4
734,Fintone,iOS,TRUE,2015,28152350,7.9
735,Cookley,Todos,TRUE,2017,23911662,4.1
736,Cookley,,FALSE,2007,12412797,
737,,Todos,FALSE,2017,10337998,4.4
738,Trippledex,Todos,FALSE,2005,27426891,3.6
739,Mat Lam Tam,Android,FALSE,2011,23279394,4.4
740,,Android,FALSE,2014,21903863,9.6
741,Cardguard,Todos,FALSE,2017,12789396,4
742,Span,Todos,FALSE,2017,4773769,8.6
743,Voltsillam,Windows Phone,TRUE,2015,,3.7
744,Bitchip,iOS,TRUE,2008,10612097,4.2
745,Mat Lam Tam,iOS,TRUE,2008,24424602,3.3
746,Opela,Windows Phone,FALSE,2005,12542569,1.9
747,Bitwolf,iOS,TRUE,2015,18463805,4.5
748,Tres-Zap,iOS,FALSE,2012,29509830,2.3
749,Sub-Ex,Windows Phone,TRUE,2011,18980897,8
750,Stringtough,Todos,TRUE,2008,15140150,6.8
751,Ventosanzap,Todos,FALSE,2012,,9.6
752,Duobam,Todos,TRUE,2013,27198484,6.2
753,Flowdesk,Todos,FALSE,2005,19868662,5.6
754,Y-find,Todos,FALSE,2007,8376562,1.2
755,Namfix,iOS,FALSE,2014,16587245,7
756,Rank,Android,TRUE,2008,7772840,4.7
757,Stronghold,Windows Phone,TRUE,2006,12042117,4
758,Hatity,Todos,FALSE,2011,6143500,4.3
759,Greenlam,Android,FALSE,2009,298510,2.7
760,Tresom,Windows Phone,TRUE,2010,12744829,9.1
761,Rank,Android,FALSE,2014,227523,7.7
762,Tampflex,Android,FALSE,2011,6749501,3.1
763,Opela,Android,FALSE,2018,8349200,5.1
764,Tampflex,Android,FALSE,2007,18729022,6.8
765,Toughjoyfax,Windows Phone,TRUE,2018,7737276,3.7
766,Alphazap,Todos,FALSE,2019,2104922,4.4
767,Overhold,Todos,TRUE,2020,12384349,9
768,Stringtough,Windows Phone,TRUE,2012,10878217,5.5
769,Lotstring,iOS,FALSE,2007,29097256,1.7
770,Greenlam,Android,FALSE,2020,2219731,2.2
771,Viva,iOS,FALSE,2013,26226687,9.9
772,Bigtax,Todos,TRUE,2019,22441066,9.1
773,Pannier,iOS,TRUE,2016,21360253,2
774,Flowdesk,Todos,TRUE,2008,13546546,3.6
775,Alphazap,Android,TRUE,2012,26264637,1.3
776,Namfix,Android,TRUE,2005,5431977,4.2
777,Asoka,Todos,TRUE,2010,26860827,3.3
778,Cardify,Windows Phone,FALSE,2006,7118790,2
779,Stringtough,Android,TRUE,2016,26592425,9.5
780,Zathin,Todos,FALSE,2018,2639905,4.3
781,Flexidy,Todos,FALSE,2013,23608731,9
782,Temp,Windows Phone,FALSE,2018,,5.6
783,Ventosanzap,Todos,TRUE,2013,29218964,4.3
784,Y-find,Android,TRUE,2006,23123966,4.6
785,Transcof,,FALSE,2009,12829975,
786,Lotstring,iOS,FALSE,2016,590414,6
787,Temp,Windows Phone,TRUE,2014,12744338,3.4
788,Sonsing,Windows Phone,TRUE,2008,23365434,4.1
789,,Android,FALSE,2011,25203381,5.9
790,Fix San,Todos,FALSE,2011,11616509,5
791,Voltsillam,iOS,TRUE,2009,5320869,8.1
792,Matsoft,Todos,TRUE,2016,994628,10
793,Voyatouch,iOS,FALSE,2014,7461011,1.4
794,Bamity,Windows Phone,FALSE,2005,18389720,6.6
795,Keylex,Android,TRUE,2019,640193,9.1
796,Fixflex,Android,FALSE,2007,,3
797,Prodder,Windows Phone,TRUE,2007,15290703,9.1
798,Tampflex,,TRUE,2009,18633459,
799,Hatity,iOS,TRUE,2020,16803403,4.6
800,Cardify,Android,TRUE,2011,918793,5.9
801,Aerified,Windows Phone,FALSE,2013,2619913,1.2
802,Daltfresh,Windows Phone,FALSE,2012,19655832,6.6
803,Fixflex,,TRUE,2011,23375558,
804,Greenlam,Android,TRUE,2012,5341258,5.4
805,Otcom,Todos,TRUE,2012,28504461,3.6
806,Hatity,iOS,TRUE,2007,,6.6
807,Greenlam,iOS,TRUE,2006,26377757,6.2
808,Bytecard,iOS,TRUE,2014,25622024,2.9
809,,iOS,TRUE,2005,3461160,9.1
810,Vagram,iOS,FALSE,2008,1435516,1.1
811,Bytecard,Android,FALSE,2018,17784842,5.4
812,Home Ing,iOS,TRUE,2014,25799997,1.9
813,Opela,Android,TRUE,2013,24781294,6.6
814,Biodex,Android,FALSE,2014,2143419,2
815,Home Ing,iOS,TRUE,2018,24829454,2.7
816,Greenlam,Todos,FALSE,2006,2231137,3.8
817,Bitchip,Android,FALSE,2015,10537381,3.6
818,Prodder,Todos,TRUE,2015,,6
819,Ronstring,,FALSE,2011,19371495,
820,Konklux,Todos,FALSE,2012,19883185,4.2
821,Andalax,Todos,TRUE,2011,7080407,6.7
822,Ventosanzap,iOS,TRUE,2010,15529469,5
823,Solarbreeze,Android,TRUE,2011,29804670,7.1
824,Prodder,iOS,TRUE,2019,19792044,4.3
825,Bitchip,Android,FALSE,2011,23540138,9.3
826,Namfix,Android,TRUE,2008,,5.2
827,Mat Lam Tam,Android,FALSE,2012,16792655,4.1
828,Aerified,Windows Phone,FALSE,2012,25987391,7.4
829,Overhold,Android,FALSE,2007,17427482,9.5
830,Zamit,iOS,FALSE,2016,24066398,3
831,Stringtough,Android,TRUE,2016,26738916,2.5
832,Flowdesk,Android,TRUE,2006,13325057,7.7
833,Overhold,Android,TRUE,2017,10671914,4.1
834,Vagram,Windows Phone,TRUE,2017,9983421,7
835,Stim,Android,FALSE,2009,11386055,4.5
836,Sub-Ex,Android,FALSE,2018,,3.2
837,,Todos,FALSE,2010,23235887,1.4
838,Holdlamis,Windows Phone,TRUE,2016,21547089,7.6
839,Voyatouch,Windows Phone,FALSE,2011,21779481,6.7
840,Daltfresh,iOS,FALSE,2007,20990182,10
841,Ronstring,Android,FALSE,2006,28640297,5.9
842,Temp,Todos,TRUE,2006,3103493,1.7
843,Cardguard,Todos,TRUE,2006,20589165,8.3
844,Bytecard,iOS,TRUE,2009,22051398,2.8
845,Keylex,Windows Phone,FALSE,2020,3069126,5.3
846,Subin,iOS,FALSE,2007,12200538,2.1
847,Bigtax,Windows Phone,FALSE,2009,12212910,3.7
848,Ronstring,Windows Phone,FALSE,2014,1789531,3
849,Stronghold,Windows Phone,FALSE,2006,21732810,3.6
850,Vagram,,FALSE,2018,23056315,
851,Viva,iOS,TRUE,2017,25438838,6.1
852,Y-find,Android,TRUE,2016,4890083,9.4
853,Y-Solowarm,iOS,FALSE,2011,27082122,6.1
854,Redhold,Android,TRUE,2009,6527360,3.8
855,Andalax,Todos,FALSE,2011,492600,6
856,Voltsillam,Windows Phone,TRUE,2006,2088623,3.7
857,Temp,iOS,TRUE,2016,6976985,4.2
858,Greenlam,Android,TRUE,2009,1948549,7.7
859,Subin,iOS,FALSE,2005,8451429,8.5
860,Flowdesk,Android,TRUE,2008,29147735,7.2
861,Matsoft,Android,TRUE,2014,26035788,8.8
862,Sub-Ex,Windows Phone,TRUE,2018,24777094,2.5
863,Stim,Android,FALSE,2010,11076152,1.4
864,Temp,Todos,TRUE,2016,1860326,6.2
865,Rank,Windows Phone,FALSE,2016,16373720,4.9
866,Konklux,iOS,TRUE,2012,16342069,1
867,Cardguard,Todos,FALSE,2015,,2.7
868,Asoka,Windows Phone,FALSE,2020,26083572,1.6
869,Pannier,Todos,FALSE,2010,22848734,9.4
870,Bitchip,Android,FALSE,2019,9497694,4.1
871,Mat Lam Tam,Todos,TRUE,2012,16542478,2.8
872,Treeflex,Todos,FALSE,2013,20923053,5.9
873,Vagram,Todos,FALSE,2019,28802071,5.7
874,Daltfresh,Windows Phone,FALSE,2020,5336026,7
875,Span,iOS,TRUE,2011,12273918,3.5
876,Asoka,,TRUE,2010,2078404,
877,Keylex,Android,FALSE,2011,1222414,3.6
878,Y-find,Windows Phone,FALSE,2010,9927062,8.8
879,Zontrax,Android,TRUE,2009,27506073,4.5
880,Bigtax,Todos,FALSE,2020,16810789,1.3
881,Bitchip,iOS,TRUE,2011,14255440,1.7
882,Sub-Ex,Android,FALSE,2019,5429804,6.8
883,Flexidy,Android,FALSE,2005,15302171,4.4
884,Stringtough,Todos,TRUE,2012,8411692,7.3
885,Fix San,Windows Phone,TRUE,2008,6260657,1.4
886,Ronstring,,TRUE,2014,23161581,
887,Overhold,iOS,FALSE,2009,29308903,6.6
888,Y-Solowarm,Android,TRUE,2006,2883040,4.2
889,Ventosanzap,Android,FALSE,2014,10897505,5.6
890,Daltfresh,Android,FALSE,2014,8364115,7.6
891,Andalax,,FALSE,2007,5250942,
892,Duobam,iOS,FALSE,2011,21342396,9.7
893,Rank,Windows Phone,FALSE,2014,21604268,7.2
894,Biodex,iOS,FALSE,2010,,8
895,Y-Solowarm,iOS,TRUE,2019,4557702,1.1
896,Transcof,Todos,FALSE,2006,5625114,8.6
897,Home Ing,iOS,FALSE,2013,6050488,7.7
898,Duobam,Android,TRUE,2015,7374917,5.1
899,Overhold,iOS,FALSE,2020,,7.2
900,,Todos,FALSE,2014,,3.2
901,Keylex,Windows Phone,FALSE,2015,,5.3
902,Cardify,Windows Phone,FALSE,2005,9067836,7.2
903,Stim,Windows Phone,TRUE,2009,8549316,1.1
904,,Todos,FALSE,2014,16462630,3.2
905,Opela,Android,FALSE,2005,10970000,9.9
906,Tempsoft,iOS,TRUE,2020,19921627,9.5
907,Zaam-Dox,Todos,TRUE,2010,12764196,2.3
908,Zaam-Dox,iOS,TRUE,2008,15322537,9.3
909,Quo Lux,Todos,TRUE,2014,17706592,1.1
910,Keylex,Todos,FALSE,2008,3399459,6.6
911,Quo Lux,Todos,TRUE,2020,7679433,6.6
912,Zamit,iOS,TRUE,2008,8209236,1.3
913,Kanlam,iOS,FALSE,2017,21351350,3
914,Regrant,Android,FALSE,2009,924305,3.8
915,Tampflex,Windows Phone,FALSE,2015,9394572,2.8
916,Fintone,Todos,FALSE,2016,,6.5
917,Zathin,Windows Phone,FALSE,2014,16181581,8.2
918,Transcof,Todos,FALSE,2005,25336316,7
919,Tempsoft,Android,FALSE,2008,24247879,3
920,Opela,Android,TRUE,2005,5772410,4.9
921,Zontrax,Todos,FALSE,2019,28773434,3.2
922,Bytecard,Android,FALSE,2019,4655325,6.9
923,It,,TRUE,2011,29667885,
924,Span,iOS,FALSE,2020,26034309,1.1
925,Voyatouch,Windows Phone,TRUE,2017,7138250,4.2
926,Zontrax,Android,FALSE,2007,2883741,6.3
927,Tresom,,FALSE,2008,11700731,
928,Trippledex,Windows Phone,TRUE,2012,17553810,2.3
929,Alphazap,Todos,FALSE,2011,2059945,5.1
930,Zamit,iOS,TRUE,2008,6569033,5.7
931,Transcof,Todos,FALSE,2010,14569631,6.2
932,Overhold,iOS,FALSE,2018,13059580,6.7
933,,iOS,FALSE,2007,26618965,1.9
934,Viva,Android,FALSE,2020,11268808,1.7
935,Zoolab,Android,FALSE,2010,514363,8.7
936,Voyatouch,Windows Phone,TRUE,2018,19877699,5
937,Treeflex,iOS,FALSE,2009,472360,6.9
938,Pannier,iOS,FALSE,2008,,3.5
939,Otcom,Todos,TRUE,2009,11486949,2.2
940,Pannier,Android,TRUE,2006,25725510,7.6
941,Lotlux,Android,TRUE,2013,884130,5.3
942,Bitchip,iOS,TRUE,2012,26126363,7.8
943,Flexidy,Todos,FALSE,2008,25810292,8.6
944,Tampflex,iOS,TRUE,2017,,3.8
945,Transcof,Windows Phone,FALSE,2015,15991800,7.4
946,Veribet,iOS,FALSE,2006,15394549,1.1
947,Tres-Zap,Windows Phone,FALSE,2012,24965975,6.5
948,Prodder,Windows Phone,TRUE,2011,15363612,6.2
949,Bitwolf,Todos,FALSE,2010,18695101,5.9
950,Daltfresh,Android,FALSE,2019,22871012,2.3
951,Bigtax,Windows Phone,FALSE,2006,22302629,5.7
952,Redhold,Windows Phone,TRUE,2012,14656638,5.2
953,Otcom,Windows Phone,FALSE,2005,23510810,2.8
954,Zontrax,Windows Phone,FALSE,2019,6855117,5.6
955,,iOS,TRUE,2011,15995120,7.9
956,Regrant,Windows Phone,FALSE,2008,19623337,8.4
957,Lotstring,iOS,TRUE,2009,7005008,6.8
958,Redhold,Windows Phone,TRUE,2011,,6.4
959,Biodex,iOS,TRUE,2017,16056566,3.3
960,Kanlam,Android,FALSE,2020,11320514,3.5
961,Kanlam,iOS,TRUE,2015,17143406,4.3
962,Quo Lux,Todos,TRUE,2012,2015770,2.3
963,Tin,Todos,TRUE,2009,9133879,6.9
964,Biodex,Windows Phone,FALSE,2008,6459049,5.9
965,Zontrax,iOS,TRUE,2018,586974,8.6
966,Regrant,Todos,TRUE,2006,15820127,9
967,Vagram,Todos,FALSE,2014,21341394,1.3
968,Rank,Windows Phone,TRUE,2005,512190,4.3
969,Toughjoyfax,Android,TRUE,2009,12688711,6.8
970,,Android,FALSE,2011,,1.8
971,Stim,Todos,TRUE,2010,25452404,9.6
972,Voyatouch,iOS,FALSE,2018,15073063,2.1
973,Home Ing,Android,TRUE,2008,4705110,2.4
974,Flowdesk,Windows Phone,FALSE,2011,,5.1
975,Tampflex,Windows Phone,FALSE,2015,22597170,6.6
976,Mat Lam Tam,Windows Phone,FALSE,2019,21213632,2.5
977,Holdlamis,iOS,TRUE,2015,3779633,6.5
978,Prodder,Todos,FALSE,2019,5640263,6.6
979,Stringtough,iOS,TRUE,2019,12145974,8.2
980,Alphazap,Todos,TRUE,2014,28341731,8.6
981,Y-Solowarm,Android,FALSE,2010,17270906,9.1
982,Fintone,iOS,FALSE,2018,529522,7.6
983,Andalax,Android,TRUE,2014,,5.9
984,Trippledex,Todos,TRUE,1011,24998432,2.7
985,Pannier,iOS,TRUE,2010,,4.2
986,Toughjoyfax,Android,FALSE,2017,21097395,5.5
987,Redhold,Todos,FALSE,2012,25828214,4.5
988,Home Ing,Android,FALSE,2017,15657493,1.8
989,Job,Windows Phone,TRUE,2020,6866787,9.7
990,It,Todos,FALSE,2008,11808919,3.4
991,Matsoft,Todos,TRUE,2019,26008332,5.5
992,Lotstring,Windows Phone,TRUE,2009,7074669,2.6
993,Zaam-Dox,iOS,TRUE,2014,12597353,5.9
994,Tempsoft,iOS,TRUE,2009,18198565,2.8
995,Gembucket,Todos,FALSE,206,671098,2.8
996,Pannier,iOS,FALSE,2017,5390204,1.9
997,Alphazap,Todos,FALSE,2010,5570074,5
998,Bitwolf,Todos,TRUE,2013,19881364,3
999,Konklux,Windows Phone,TRUE,2015,11820697,1.3
1000,Span,Todos,TRUE,2011,21683115,9.9